Index,StartTime,EndTime,EndTimeOverlap,LBint,UBint,GAPint,NrSchedulesGenerated,NrUnassignedTrips,NrVehiclesRotation,MSecondsTotal,MSecondsMP,MSecondsPP,PPNetworkConstructionTime,PPNRSegments,MSecondsFilterMPVars,MSecondsFilterPPNodes,BranchingDepth,BranchingSize,Algorithm
0,2024-05-01 00:00:00+0000,2024-05-01 06:00:00+0000,2024-05-02 00:00:00+0000,109070,109271,0.00184257,4294967295,4,4,20,1,3,0,4,0,0,3,4,Trunc. CG
1,2024-05-01 06:00:00+0000,2024-05-01 12:00:00+0000,2024-05-02 06:00:00+0000,31072.7,31997,0.0288893,4294967295,0,5,19,0,0,0,4,0,0,4,5,Trunc. CG
2,2024-05-01 12:00:00+0000,2024-05-01 18:00:00+0000,2024-05-02 12:00:00+0000,46536,46547.2,0.000238898,4294967295,1,4,4,0,0,0,4,0,0,0,1,Trunc. CG
3,2024-05-01 18:00:00+0000,2024-05-02 00:00:00+0000,2024-05-02 18:00:00+0000,47792.8,47792.8,0,4294967295,1,4,5,0,0,0,4,0,0,0,1,Root-Solved
4,2024-05-02 00:00:00+0000,2024-05-02 06:00:00+0000,2024-05-03 00:00:00+0000,50047.7,50047.7,2.90761e-16,4294967295,1,4,9,0,0,0,4,0,0,0,1,Root-Solved
5,2024-05-02 06:00:00+0000,2024-05-02 12:00:00+0000,2024-05-03 06:00:00+0000,31134,32325.7,0.0368642,4294967295,0,5,16,0,0,0,4,0,0,3,4,Trunc. CG
6,2024-05-02 12:00:00+0000,2024-05-02 18:00:00+0000,2024-05-03 12:00:00+0000,46619.2,46619.2,1.56072e-16,4294967295,1,4,5,0,0,0,4,0,0,0,1,Root-Solved
7,2024-05-02 18:00:00+0000,2024-05-03 00:00:00+0000,2024-05-03 18:00:00+0000,47828.8,47828.8,0,4294967295,1,4,6,0,0,0,4,0,0,0,1,Root-Solved
8,2024-05-03 00:00:00+0000,2024-05-03 06:00:00+0000,2024-05-04 00:00:00+0000,50047.7,50047.7,0,4294967295,1,4,10,0,0,0,4,0,0,0,1,Root-Solved
9,2024-05-03 06:00:00+0000,2024-05-03 12:00:00+0000,2024-05-04 06:00:00+0000,31274.2,32540.4,0.0389113,4294967295,0,5,22,4,1,0,4,0,0,2,3,Trunc. CG
10,2024-05-03 12:00:00+0000,2024-05-03 18:00:00+0000,2024-05-04 12:00:00+0000,48113,48120.7,0.000158767,4294967295,1,4,8,0,0,0,4,0,0,0,1,Trunc. CG
11,2024-05-03 18:00:00+0000,2024-05-04 00:00:00+0000,2024-05-04 12:00:00+0000,46679.2,46694.5,0.000327234,4294967295,1,4,3,0,0,0,4,0,0,0,1,Trunc. CG
12,2024-05-04 00:00:00+0000,2024-05-04 06:00:00+0000,2024-05-04 12:00:00+0000,40003.7,40003.7,0,4294967295,1,3,1,0,0,0,4,0,0,0,1,Root-Solved
13,2024-05-04 06:00:00+0000,2024-05-04 12:00:00+0000,2024-05-04 12:00:00+0000,37090.9,37090.9,0,4294967295,1,3,0,0,0,0,4,0,0,0,1,Root-Solved
