Id,BatteryMinKWh,BatteryMaxKWh,InitialChargerID,InitialStartTime,InitialSOC,ChargingSpeedVolts,ChargingSpeedAmps,NumberPlate,OdometerReading,OdometerLastMaintenance,InRotation,Cost,kwh_per_km
0,38,250,0,2024-05-01 00:00:00+00:00,38,600,250,A0,89668,89494,0,5000,0.92
1,38,250,0,2024-05-01 00:00:00+00:00,38,600,250,A1,253267,252800,0,5000,0.96
2,38,250,0,2024-05-01 00:00:00+00:00,38,600,250,A2,290249,289663,0,5000,0.97
3,38,250,0,2024-05-01 00:00:00+00:00,38,600,250,A3,293486,293313,0,5000,0.97
4,94,621,1,2024-05-01 00:00:00+00:00,94,600,400,E0,107139,106708,0,15000,1.17
5,94,621,0,2024-05-01 00:00:00+00:00,94,600,400,E1,59880,59483,0,15000,1.16
6,94,621,1,2024-05-01 00:00:00+00:00,94,600,400,E2,291459,291228,0,15000,1.22
7,94,621,0,2024-05-01 00:00:00+00:00,94,600,400,E3,75405,74489,0,15000,1.17
8,94,621,1,2024-05-01 00:00:00+00:00,94,600,400,E4,112948,112683,0,15000,1.17
9,94,621,0,2024-05-01 00:00:00+00:00,94,600,400,E5,138419,137906,0,15000,1.18
10,94,621,1,2024-05-01 00:00:00+00:00,94,600,400,E6,277506,277244,0,15000,1.21
11,94,621,0,2024-05-01 00:00:00+00:00,94,600,400,E7,277614,277291,0,15000,1.21
12,94,621,1,2024-05-01 00:00:00+00:00,94,600,400,E8,214394,213942,0,15000,1.2
13,94,621,0,2024-05-01 00:00:00+00:00,94,600,400,E9,245165,245004,0,15000,1.21
14,94,621,1,2024-05-01 00:00:00+00:00,94,600,400,E10,161506,161109,0,15000,1.19
15,38,250,2,2024-05-01 00:00:00+00:00,38,600,250,A4,197367,197043,0,5000,0.95
16,38,250,2,2024-05-01 00:00:00+00:00,38,600,250,A5,61770,61280,0,5000,0.91
17,38,250,2,2024-05-01 00:00:00+00:00,38,600,250,A6,199777,199517,0,5000,0.95
18,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D0,210289,209746,0,10000,1.16
19,85,563,2,2024-05-01 00:00:00+00:00,85,600,250,D1,256659,256076,0,10000,1.17
20,85,563,2,2024-05-01 00:00:00+00:00,85,600,250,D2,286165,285327,0,10000,1.18
21,85,563,3,2024-05-01 00:00:00+00:00,85,600,250,D3,26396,26238,0,10000,1.11
22,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D4,124553,123828,0,10000,1.14
23,85,563,2,2024-05-01 00:00:00+00:00,85,600,250,D5,155804,155275,0,10000,1.15
24,85,563,2,2024-05-01 00:00:00+00:00,85,600,250,D6,40070,39540,0,10000,1.12
25,85,563,3,2024-05-01 00:00:00+00:00,85,600,250,D7,251393,250809,0,10000,1.17
26,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D8,75581,74665,0,10000,1.13
27,85,563,2,2024-05-01 00:00:00+00:00,85,600,250,D9,78879,78514,0,10000,1.13
28,85,563,2,2024-05-01 00:00:00+00:00,85,600,250,D10,292192,292023,0,10000,1.18
29,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D11,25311,24563,0,10000,1.11
30,85,563,3,2024-05-01 00:00:00+00:00,85,600,250,D12,148118,147989,0,10000,1.14
31,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D13,296527,296248,0,10000,1.18
32,85,563,1,2024-05-01 00:00:00+00:00,85,600,250,D14,70331,69332,0,10000,1.12
33,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D15,78836,77900,0,10000,1.13
34,85,563,3,2024-05-01 00:00:00+00:00,85,600,250,D16,129105,128941,0,10000,1.14
35,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D17,285844,285116,0,10000,1.18
36,85,563,1,2024-05-01 00:00:00+00:00,85,600,250,D18,66105,66041,0,10000,1.12
37,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D19,66936,66701,0,10000,1.12
38,85,563,3,2024-05-01 00:00:00+00:00,85,600,250,D20,85080,84719,0,10000,1.13
39,85,563,0,2024-05-01 00:00:00+00:00,85,600,250,D21,206873,206585,0,10000,1.16
40,42,281,3,2024-05-01 00:00:00+00:00,42,600,200,B0,15188,14714,0,6000,0.87
41,42,281,3,2024-05-01 00:00:00+00:00,42,600,200,B1,115552,115123,0,6000,0.9
42,42,281,3,2024-05-01 00:00:00+00:00,42,600,200,B2,113305,112629,0,6000,0.89
43,42,281,3,2024-05-01 00:00:00+00:00,42,600,200,B3,250603,250066,0,6000,0.93
