Index,StartTime,EndTime,EndTimeOverlap,LBint,UBint,GAPint,NrSchedulesGenerated,NrUnassignedTrips,NrVehiclesRotation,MSecondsTotal,MSecondsMP,MSecondsPP,PPNetworkConstructionTime,PPNRSegments,MSecondsFilterMPVars,MSecondsFilterPPNodes,BranchingDepth,BranchingSize,Algorithm
0,2024-05-01 00:00:00+0000,2024-05-01 06:00:00+0000,2024-05-02 00:00:00+0000,108865,109271,0.0037222,4294967295,4,4,19,1,2,0,4,0,0,1,2,Trunc. CG
1,2024-05-01 06:00:00+0000,2024-05-01 12:00:00+0000,2024-05-02 06:00:00+0000,31153.6,32102.4,0.0295554,4294967295,0,5,14,0,0,0,4,0,0,2,3,Trunc. CG
2,2024-05-01 12:00:00+0000,2024-05-01 18:00:00+0000,2024-05-02 12:00:00+0000,46552.9,46552.9,0,4294967295,1,4,6,0,0,0,4,0,0,0,1,Root-Solved
3,2024-05-01 18:00:00+0000,2024-05-02 00:00:00+0000,2024-05-02 18:00:00+0000,47794.3,47794.3,0,4294967295,1,4,5,0,0,0,4,0,0,0,1,Root-Solved
4,2024-05-02 00:00:00+0000,2024-05-02 06:00:00+0000,2024-05-03 00:00:00+0000,50047.7,50047.7,0,4294967295,1,4,5,0,0,0,4,0,0,0,1,Root-Solved
5,2024-05-02 06:00:00+0000,2024-05-02 12:00:00+0000,2024-05-03 06:00:00+0000,31409.1,32539.5,0.0347408,4294967295,0,5,9,0,0,0,4,0,0,2,3,Trunc. CG
6,2024-05-02 12:00:00+0000,2024-05-02 18:00:00+0000,2024-05-03 12:00:00+0000,47426.7,47507.7,0.00170414,4294967295,1,4,7,0,0,0,4,0,0,0,1,Trunc. CG
7,2024-05-02 18:00:00+0000,2024-05-03 00:00:00+0000,2024-05-03 18:00:00+0000,48996.2,48996.2,0,4294967295,1,4,7,0,0,0,4,0,0,0,1,Root-Solved
8,2024-05-03 00:00:00+0000,2024-05-03 06:00:00+0000,2024-05-04 00:00:00+0000,50923.2,50923.2,0,4294967295,1,4,6,0,0,0,4,0,0,0,1,Root-Solved
9,2024-05-03 06:00:00+0000,2024-05-03 12:00:00+0000,2024-05-04 06:00:00+0000,32155.9,33415.9,0.0377067,4294967295,0,5,14,0,0,0,4,0,0,3,4,Trunc. CG
10,2024-05-03 12:00:00+0000,2024-05-03 18:00:00+0000,2024-05-04 12:00:00+0000,47871.4,48033.4,0.00337099,4294967295,1,4,8,0,0,0,4,0,0,0,1,Trunc. CG
11,2024-05-03 18:00:00+0000,2024-05-04 00:00:00+0000,2024-05-04 12:00:00+0000,43472.9,43472.9,0,4294967295,1,3,1,0,0,0,4,0,0,0,1,Root-Solved
12,2024-05-04 00:00:00+0000,2024-05-04 06:00:00+0000,2024-05-04 12:00:00+0000,38836.3,38836.3,0,4294967295,1,3,1,0,0,0,4,0,0,0,1,Root-Solved
13,2024-05-04 06:00:00+0000,2024-05-04 12:00:00+0000,2024-05-04 12:00:00+0000,36791.4,36791.4,0,4294967295,1,3,1,0,0,0,4,0,0,0,1,Root-Solved
