Index,StartTime,EndTime,EndTimeOverlap,LBint,UBint,GAPint,NrSchedulesGenerated,NrUnassignedTrips,NrVehiclesRotation,MSecondsTotal,MSecondsMP,MSecondsPP,PPNetworkConstructionTime,PPNRSegments,MSecondsFilterMPVars,MSecondsFilterPPNodes,BranchingDepth,BranchingSize,Algorithm
0,2024-05-01 00:00:00+0000,2024-05-01 06:00:00+0000,2024-05-02 00:00:00+0000,115419,115909,0.00422395,4294967295,4,5,24,1,4,0,4,0,0,0,1,Trunc. CG
1,2024-05-01 06:00:00+0000,2024-05-01 12:00:00+0000,2024-05-02 06:00:00+0000,37839.5,38177.9,0.00886279,4294967295,0,5,22,0,0,0,4,2,0,3,4,Trunc. CG
2,2024-05-01 12:00:00+0000,2024-05-01 18:00:00+0000,2024-05-02 12:00:00+0000,57093.4,58582.2,0.0254133,4294967295,1,5,29,5,0,0,4,2,0,3,4,Trunc. CG
3,2024-05-01 18:00:00+0000,2024-05-02 00:00:00+0000,2024-05-02 18:00:00+0000,60593.1,60777.4,0.00303234,4294967295,1,5,15,1,0,0,4,0,0,0,1,Trunc. CG
4,2024-05-02 00:00:00+0000,2024-05-02 06:00:00+0000,2024-05-03 00:00:00+0000,60778.3,61164.5,0.00631321,4294967295,1,5,16,1,0,0,4,0,0,1,2,Trunc. CG
5,2024-05-02 06:00:00+0000,2024-05-02 12:00:00+0000,2024-05-03 06:00:00+0000,40645.3,41797.2,0.0275595,4294967295,0,6,32,2,0,0,4,2,0,4,5,Trunc. CG
6,2024-05-02 12:00:00+0000,2024-05-02 18:00:00+0000,2024-05-03 12:00:00+0000,58554.3,60447.2,0.0313155,4294967295,1,6,42,3,0,0,4,6,0,5,6,Trunc. CG
7,2024-05-02 18:00:00+0000,2024-05-03 00:00:00+0000,2024-05-03 18:00:00+0000,55080.4,55088,0.000138687,4294967295,1,5,10,0,0,0,4,0,0,0,1,Trunc. CG
8,2024-05-03 00:00:00+0000,2024-05-03 06:00:00+0000,2024-05-04 00:00:00+0000,57405.5,57405.5,0,4294967295,1,5,16,1,0,0,4,0,0,0,1,Root-Solved
9,2024-05-03 06:00:00+0000,2024-05-03 12:00:00+0000,2024-05-04 06:00:00+0000,39266.6,41218.4,0.0473522,4294967295,0,6,56,3,0,0,4,15,0,9,10,Trunc. CG
10,2024-05-03 12:00:00+0000,2024-05-03 18:00:00+0000,2024-05-04 12:00:00+0000,56431.3,56461.9,0.00054125,4294967295,1,5,8,0,0,0,4,0,0,0,1,Trunc. CG
11,2024-05-03 18:00:00+0000,2024-05-04 00:00:00+0000,2024-05-04 12:00:00+0000,47825.6,47856.2,0.00063858,4294967295,1,4,4,0,0,0,4,0,0,0,1,Trunc. CG
12,2024-05-04 00:00:00+0000,2024-05-04 06:00:00+0000,2024-05-04 12:00:00+0000,45079,45079,0,4294967295,1,4,2,0,0,0,4,0,0,0,1,Root-Solved
13,2024-05-04 06:00:00+0000,2024-05-04 12:00:00+0000,2024-05-04 12:00:00+0000,42850.5,42850.5,0,4294967295,1,4,1,0,0,0,4,0,0,0,1,Root-Solved
