IndexPlanningHorizon,IndexBranchingNode,Iteration,LBfrac,UBfrac,GAPfrac,IntFound,LBint,UBint,GAPint,MSecondsMP,MSecondsPP,MSecondsAUXCG,MSecondsStrongBranching,MPSizeConstraints,MPSizeVariables,ColumnsAdded,PPNetworkConstructionTime,PPNetworkSizeNodes,PPNetworkSizeArcs,LazyConstraintAdded,BranchType,IndexParentBranchingNode,MSecondsFilterMPVars,MSecondsFilterPPNodes,VehicleID,TripID,MaintenanceID,FracValue,BranchValue
0,1,0,-1.79769e+308,400000,4.49423e+302,1,-1.79769e+308,400000,4.49423e+302,1,0,0,0,30,28,0,0,0,0,,,,,,,,,,
0,1,1,-74233.8,211880,1.35036,1,-74233.8,211880,1.35036,0,0,0,0,30,74,46,0,26,78,,,,,,,,,,
0,1,2,-74233.8,102012,1.7277,1,-74233.8,102012,1.7277,0,0,0,0,30,108,34,0,30,117,,,,,,,,,,
0,1,3,-46436.2,101471,1.45763,1,-46436.2,101471,1.45763,0,0,0,0,30,140,32,0,33,125,,,,,,,,,,
0,1,4,94172.5,101263,0.0700166,0,94172.5,101471,0.0719277,0,0,0,0,30,154,14,0,31,133,,,,,,,,,,
0,1,5,96717.5,100125,0.0340342,1,96717.5,100125,0.0340342,0,0,0,0,30,168,14,0,35,162,,,,,,,,,,
0,1,6,100125,100125,0,0,100125,100125,0,0,0,0,0,30,168,0,0,26,96,,,,,,,,,,
1,1,0,-1.79769e+308,400000,4.49423e+302,1,-1.79769e+308,400000,4.49423e+302,0,0,0,0,30,28,0,0,0,0,,,,,,,,,,
1,1,1,-228436,23385.6,10.7682,1,-228436,23385.6,10.7682,0,0,0,0,30,68,40,0,25,68,,,,,,,,,,
1,1,2,-228436,23385.6,10.7682,0,-228436,23385.6,10.7682,0,0,0,0,30,129,61,0,32,130,,,,,,,,,,
1,1,3,-117044,23217.3,6.04123,0,-117044,23385.6,6.00495,0,0,0,0,30,158,29,0,31,115,,,,,,,,,,
1,1,4,19320.1,22873.1,0.155335,0,19320.1,23385.6,0.173845,0,0,0,0,30,173,15,0,30,124,,,,,,,,,,
1,1,5,22027.4,22735.2,0.0311334,0,22027.4,23385.6,0.0580777,0,0,0,0,30,181,8,0,27,99,,,,,,,,,,
1,1,6,22338,22735.2,0.0174716,0,22338,23385.6,0.0447959,0,0,0,0,30,186,5,0,30,104,,,,,,,,,,
1,1,7,22705.2,22731.9,0.00117309,0,22705.2,23385.6,0.029093,0,0,0,0,30,188,2,0,27,97,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,Trunc. CG,4294967295,0,0,,,,1.79769e+308,1.79769e+308
1,2,,,,,,,,,,,,,,,,,,,,VEHICLE_CHARGING_AFTER,1,0,0,,,,0.666667,1
1,2,4294967295,-1.79769e+308,1.79769e+308,inf,0,0,1.79769e+308,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1,2,0,22705.2,22973.9,0.0116946,0,22705.2,23385.6,0.029093,0,0,0,0,30,188,0,0,27,97,,,,,,,,,,
1,2,1,22705.2,22944.5,0.0104294,0,22705.2,23385.6,0.029093,0,0,0,0,30,192,4,0,30,101,,,,,,,,,,
1,2,2,22822.3,22827,0.000208525,1,22705.2,22827,0.00533601,0,0,0,0,30,194,2,0,30,105,,,,,,,,,,
2,1,0,-1.79769e+308,380000,4.73077e+302,1,-1.79769e+308,380000,4.73077e+302,0,0,0,0,29,27,0,0,0,0,,,,,,,,,,
2,1,1,-209729,44359.3,5.72797,1,-209729,44359.3,5.72797,0,0,0,0,29,80,53,0,23,76,,,,,,,,,,
2,1,2,-209729,41911.7,6.00407,1,-209729,41911.7,6.00407,0,0,0,0,29,135,55,0,30,129,,,,,,,,,,
2,1,3,-112646,41911.7,3.6877,0,-112646,41911.7,3.6877,0,0,0,0,29,225,90,0,35,170,,,,,,,,,,
2,1,4,35978.8,41499.8,0.133037,1,35978.8,41499.8,0.133037,0,0,0,0,29,260,35,0,30,133,,,,,,,,,,
2,1,5,38302.9,40824.4,0.0617652,1,38302.9,40824.4,0.0617652,0,0,0,0,29,290,30,0,35,149,,,,,,,,,,
2,1,6,40817.7,40824.4,0.000165587,0,40817.7,40824.4,0.000165587,0,0,0,0,29,291,1,0,26,102,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,,,,Trunc. CG,4294967295,0,0,,,,1.79769e+308,1.79769e+308
3,1,0,-1.79769e+308,360000,4.99359e+302,1,-1.79769e+308,360000,4.99359e+302,0,0,0,0,28,26,0,0,0,0,,,,,,,,,,
3,1,1,-221980,22330.7,10.9406,1,-221980,22330.7,10.9406,0,0,0,0,28,94,68,0,25,74,,,,,,,,,,
3,1,2,-127606,22330.7,6.7144,0,-127606,22330.7,6.7144,0,0,0,0,28,124,30,0,29,110,,,,,,,,,,
3,1,3,-127593,22242.1,6.73655,1,-127593,22242.1,6.73655,0,0,0,0,28,134,10,0,29,112,,,,,,,,,,
3,1,4,-127593,22242.1,6.73655,0,-127593,22242.1,6.73655,0,0,0,0,28,152,18,0,30,110,,,,,,,,,,
3,1,5,-123876,22242.1,6.56942,0,-123876,22242.1,6.56942,0,0,0,0,28,171,19,0,28,102,,,,,,,,,,
3,1,6,-121018,22242.1,6.44094,0,-121018,22242.1,6.44094,0,0,0,0,28,217,46,0,32,120,,,,,,,,,,
3,1,7,21429.2,22242.1,0.0365477,0,21429.2,22242.1,0.0365477,0,0,0,0,28,220,3,0,32,128,,,,,,,,,,
3,1,8,22023.6,22242.1,0.00982246,0,22023.6,22242.1,0.00982246,0,0,0,0,28,224,4,0,35,148,,,,,,,,,,
3,1,9,22242.1,22242.1,0,0,22242.1,22242.1,0,0,0,0,0,28,224,0,0,32,128,,,,,,,,,,
4,1,0,-1.79769e+308,380000,4.73077e+302,1,-1.79769e+308,380000,4.73077e+302,0,0,0,0,29,27,0,0,0,0,,,,,,,,,,
4,1,1,-166633,79030,3.10847,1,-166633,79030,3.10847,0,0,0,0,29,95,68,0,26,78,,,,,,,,,,
4,1,2,-166633,43347.1,4.84415,1,-166633,43347.1,4.84415,0,0,0,0,29,156,61,0,31,127,,,,,,,,,,
4,1,3,-97296.2,43343.8,3.24476,1,-97296.2,43343.8,3.24476,0,0,0,0,29,186,30,0,33,146,,,,,,,,,,
4,1,4,-97296.2,43343.8,3.24476,0,-97296.2,43343.8,3.24476,0,0,0,0,29,218,32,0,37,148,,,,,,,,,,
4,1,5,42051.5,43095.2,0.0242189,0,42051.5,43343.8,0.029815,0,0,0,0,29,231,13,0,27,122,,,,,,,,,,
4,1,6,42853.3,43036.9,0.00426556,0,42853.3,43343.8,0.011315,0,0,0,0,29,232,1,0,26,109,,,,,,,,,,
4,1,,,,,,,,,,,,,,,,,,,,Trunc. CG,4294967295,0,0,,,,1.79769e+308,1.79769e+308
4,2,,,,,,,,,,,,,,,,,,,,VEHICLE_TRIP,1,0,0,,,,0.75,1
4,2,4294967295,-1.79769e+308,1.79769e+308,inf,0,0,1.79769e+308,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
4,2,0,42853.3,43038.4,0.00430092,0,42853.3,43343.8,0.011315,0,0,0,0,29,232,0,0,26,109,,,,,,,,,,
4,2,1,43038.4,43038.4,0,0,42853.3,43343.8,0.011315,0,0,0,0,29,232,0,0,26,107,,,,,,,,,,
4,3,,,,,,,,,,,,,,,,,,,,VEHICLE_CHARGING_AFTER,2,0,0,,,,0.5,1
4,3,4294967295,-1.79769e+308,1.79769e+308,inf,0,0,1.79769e+308,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
4,3,0,43038.4,43119.2,0.00187281,1,42853.3,43119.2,0.00616567,0,0,0,0,29,232,0,0,26,107,,,,,,,,,,
4,3,1,43119.2,43119.2,0,0,42853.3,43119.2,0.00616567,0,0,0,0,29,232,0,0,28,115,,,,,,,,,,
5,1,0,-1.79769e+308,400000,4.49423e+302,1,-1.79769e+308,400000,4.49423e+302,0,0,0,0,29,28,0,0,0,0,,,,,,,,,,
5,1,1,-187147,24560.1,8.61997,0,-187147,400000,1.46787,0,0,0,0,29,64,36,0,23,59,,,,,,,,,,
5,1,2,-87570.2,24560.1,4.56554,0,-87570.2,400000,1.21893,0,0,0,0,29,86,22,0,28,92,,,,,,,,,,
5,1,3,-87570.2,23823.9,4.67572,0,-87570.2,400000,1.21893,0,0,0,0,29,113,27,0,30,98,,,,,,,,,,
5,1,4,21774.1,23532.1,0.0747068,0,21774.1,400000,0.945565,0,0,0,0,29,126,13,0,26,77,,,,,,,,,,
5,1,5,23477.9,23514,0.00153792,0,23477.9,400000,0.941305,0,0,0,0,29,128,2,0,24,66,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,,,,Trunc. CG,4294967295,0,0,,,,1.79769e+308,1.79769e+308
5,2,,,,,,,,,,,,,,,,,,,,VEHICLE_TRIP,1,0,0,,,,0.666667,1
5,2,4294967295,-1.79769e+308,1.79769e+308,inf,0,0,1.79769e+308,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
5,2,0,23477.9,23941.3,0.0193575,0,23477.9,400000,0.941305,0,0,0,0,29,128,0,0,24,66,,,,,,,,,,
5,2,1,23477.9,23923.7,0.0186372,0,23477.9,400000,0.941305,0,0,0,0,29,139,11,0,33,110,,,,,,,,,,
5,2,2,23477.9,23660.5,0.00771735,0,23477.9,400000,0.941305,0,0,0,0,29,152,13,0,31,110,,,,,,,,,,
5,2,3,23660.5,23660.5,0,0,23477.9,400000,0.941305,0,0,0,0,29,152,0,0,24,80,,,,,,,,,,
5,3,,,,,,,,,,,,,,,,,,,,VEHICLE_TRIP,2,0,0,,,,0.5,1
5,3,4294967295,-1.79769e+308,1.79769e+308,inf,0,0,1.79769e+308,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
5,3,0,23660.5,23958.4,0.0124366,0,23477.9,400000,0.941305,0,0,0,0,29,152,0,0,24,80,,,,,,,,,,
5,3,1,23660.5,23660.5,0,0,23477.9,400000,0.941305,0,0,0,0,29,153,1,0,24,94,,,,,,,,,,
5,4,,,,,,,,,,,,,,,,,,,,VEHICLE_MAINTENANCE,3,0,0,,,,0.5,1
5,4,4294967295,-1.79769e+308,1.79769e+308,inf,0,0,1.79769e+308,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
5,4,0,23660.5,24953.3,0.0518105,1,23477.9,24953.3,0.0591281,0,0,0,0,29,153,0,0,24,94,,,,,,,,,,
5,4,1,23867.8,24661.4,0.032182,1,23477.9,24661.4,0.0479936,0,0,0,0,29,157,4,0,26,110,,,,,,,,,,
5,4,2,24077.8,24661.4,0.0236684,0,23477.9,24661.4,0.0479936,0,0,0,0,29,158,1,0,28,105,,,,,,,,,,
5,4,3,24077.8,24661.4,0.0236684,0,23477.9,24661.4,0.0479936,0,0,0,0,29,162,4,0,34,122,,,,,,,,,,
5,4,4,24536,24661.4,0.00508696,0,23477.9,24661.4,0.0479936,0,0,0,0,29,163,1,0,26,110,,,,,,,,,,
5,4,5,24661.4,24661.4,0,0,23477.9,24661.4,0.0479936,0,0,0,0,29,163,0,0,26,107,,,,,,,,,,
6,1,0,-1.79769e+308,340000,5.28733e+302,1,-1.79769e+308,340000,5.28733e+302,0,0,0,0,27,25,0,0,0,0,,,,,,,,,,
6,1,1,-205471,39022.3,6.26548,1,-205471,39022.3,6.26548,0,0,0,0,27,84,59,0,22,71,,,,,,,,,,
6,1,2,-110928,39022.3,3.84269,0,-110928,39022.3,3.84269,0,0,0,0,27,132,48,0,28,130,,,,,,,,,,
6,1,3,35639.8,39022.3,0.0866814,0,35639.8,39022.3,0.0866814,0,0,0,0,27,165,33,0,28,124,,,,,,,,,,
6,1,4,39022.3,39022.3,0,0,39022.3,39022.3,0,0,0,0,0,27,165,0,0,24,84,,,,,,,,,,
7,1,0,-1.79769e+308,360000,4.99359e+302,1,-1.79769e+308,360000,4.99359e+302,0,0,0,0,28,26,0,0,0,0,,,,,,,,,,
7,1,1,-227826,21168.8,11.7624,1,-227826,21168.8,11.7624,0,0,0,0,28,83,57,0,25,74,,,,,,,,,,
7,1,2,-168230,21095.5,8.97469,1,-168230,21095.5,8.97469,0,0,0,0,28,154,71,0,32,130,,,,,,,,,,
